rank,name,age,team,position
725,Shane Bowers,25,NJD,C
726,Travis Boyd,31,MIN,C
727,Chase Bradley,23,COL,LW
728,Brendan Brisson,23,VEG,C
729,Josh Brown,31,EDM,D
730,Patrick Brown,32,BOS,C
731,Dylan Coghlan,26,WPG,D
732,Sam Colangelo,23,ANA,RW
733,Drew Commesso,22,CHI,G
734,Eric Comrie,29,WPG,G
735,Pheonix Copley,33,LAK,G
736,Sebastian Cossa,22,DET,G
737,Joey Daccord,28,SEA,G
738,Thatcher Demko,29,VAN,G
739,Grigori Denisenko,24,VEG,LW
740,Travis Dermott,28,MIN,D
741,Casey DeSmith,33,DAL,G
742,Lukáš Dostál,24,ANA,G
743,Samuel Ersson,25,PHI,G
744,Hudson Fasching,29,NYI,RW
745,Ivan Fedotov,28,PHI,G
746,Tye Felhaber,26,COL,F
747,Cale Fleury,26,SEA,D
748,Marc-André Fleury,40,MIN,G
749,Nolan Foote,24,NJD,LW
750,Anton Forsberg,32,OTT,G
751,Liam Foudy,24,NYI,C
752,Mark Friedman,29,VAN,D
753,Brendan Gaunce,30,MIN,C
754,Julien Gauthier,27,NYI,RW
755,John Gibson,31,ANA,G
756,Patrick Giles,25,FLA,F
757,Ryan Graves,29,PIT,D
758,Jet Greaves,23,CBJ,G
759,Nikita Grebenkin,21,TOR,RW
760,Philipp Grubauer,33,SEA,G
761,Erik Gudbranson,33,CBJ,D
762,David Gustafsson,24,WPG,C
763,Robert Hägg,29,VEG,D
764,Jani Hakanpää,32,TOR,D
765,Joel Hanley,33,CGY,D
766,Mike Hardman,25,NJD,RW
767,John Hayden,29,SEA,C
768,Ville Heinola,23,WPG,D
769,Connor Hellebuyck,31,WPG,G
770,Dennis Hildeby,23,TOR,G
771,Adin Hill,28,VEG,G
772,Marcus Högberg,30,NYI,G
773,Samuel Honzek,20,CGY,LW
774,Daemon Hunt,22,MIN,D
775,Ville Husso,29,DET,G
776,Ben Hutton,31,VEG,D
777,Connor Ingram,27,UTA,G
778,Jere Innala,26,COL,F
779,Tristan Jarry,29,PIT,G
780,Jonas Johansson,29,TBL,G
781,Reese Johnson,26,MIN,F
782,Ryan Johnson,23,BUF,D
783,Ben Jones,25,MIN,F
784,Caleb Jones,27,LAK,D
785,Max Jones,26,BOS,LW
786,Noah Juulsen,27,VAN,D
787,Kaapo Kähkönen,28,COL,G
788,Linus Karlsson,25,VAN,C
789,Adam Klapka,24,CGY,F
790,Aleksei Kolosov,23,PHI,G
791,Kevin Korchinski,20,CHI,D
792,Joonas Korpisalo,30,BOS,G
793,Darcy Kuemper,34,LAK,G
794,Tanner Laczynski,27,VEG,C
795,William Lagesson,28,DET,D
796,Brad Lambert,21,WPG,C
797,Kevin Lankinen,29,VAN,G
798,Nick Leddy,33,STL,D
799,Nathan Legare,24,NJD,RW
800,Devon Levi,23,BUF,G
801,Charlie Lindgren,31,WSH,G
802,Jett Luchanko,18,PHI,F
803,Tristan Luneau,21,ANA,D
804,Olle Lycksell,25,PHI,RW
805,Alex Lyon,32,DET,G
806,Kurtis MacDermid,30,NJD,LW
807,Connor Mackey,28,NYR,D
808,James Malatesta,21,CBJ,LW
809,Jacob Markström,35,NJD,G
810,Spencer Martin,29,CAR,G
811,Denton Mateychuk,20,CBJ,D
812,Rutger McGroarty,20,PIT,RW
813,Leevi Merilainen,22,OTT,G
814,Dakota Mermis,31,UTA,D
815,Elvis Merzļikins,30,CBJ,G
816,Ben Meyers,26,SEA,F
817,Keaton Middleton,26,COL,D
818,Sonny Milano,28,WSH,LW
819,Michael Milne,22,MIN,LW
820,Trent Miner,23,COL,G
821,Daniil Misyul,24,NJD,D
822,Sam Montembeault,28,MTL,G
823,Mason Morelli,28,VEG,F
824,Petr Mrázek,32,CHI,G
825,Matt Murray,30,TOR,G
826,Alex Nedeljkovic,29,PIT,G
827,Alexander Nylander,26,TOR,LW
828,Liam O'Brien,30,UTA,C
829,Liam Ohgren,21,MIN,LW
830,Yaniv Perets,24,CAR,G
831,David Perron,36,OTT,LW
832,Alexander Petrovic,32,DAL,D
833,Michael Pezzetta,26,MTL,C
834,Calvin Pickard,32,EDM,G
835,Vasiliy Ponomarev,22,PIT,C
836,Erik Portillo,24,LAK,G
837,Cayden Primeau,25,MTL,G
838,Nikita Prishchepov,20,COL,C
839,Jonathan Quick,39,NYR,G
840,Mike Reilly,31,NYI,D
841,James Reimer,36,BUF,G
842,Matt Rempe,22,NYR,C
843,David Rittich,32,LAK,G
844,Isak Rosen,21,BUF,RW
845,Joshua Roy,21,MTL,RW
846,Jonas Røndbjerg,25,VEG,RW
847,Ilya Samsonov,27,VEG,G
848,Steven Santini,29,TBL,D
849,Akira Schmid,24,VEG,G
850,Corey Schueneman,29,STL,D
851,Conor Sheary,32,TBL,LW
852,Igor Shesterkin,29,NYR,G
853,Arturs Silovs,23,VAN,G
854,Stuart Skinner,26,EDM,G
855,Givani Smith,26,SJS,RW
856,Arvid Söderblom,25,CHI,G
857,Ilya Sorokin,29,NYI,G
858,Jaxson Stauber,25,UTA,G
859,Alex Steeves,25,TOR,F
860,Matthew Stienburg,24,COL,C
861,Anthony Stolarz,31,TOR,G
862,Jeremy Swayman,26,BOS,G
863,Mads Søgaard,24,OTT,G
864,Cam Talbot,37,DET,G
865,Logan Thompson,27,WSH,G
866,Dustin Tokarski,35,CAR,G
867,Tyler Tucker,24,STL,D
868,Riley Tufte,26,BOS,LW
869,Semyon Varlamov,36,NYI,G
870,Andrei Vasilevskiy,30,TBL,G
871,Karel Vejmelka,28,UTA,G
872,Jeffrey Viel,28,BOS,F
873,Jesper Wallstedt,22,MIN,G
874,Austin Watson,33,DET,LW
875,Scott Wedgewood,32,NSH,G
876,Joseph Woll,26,TOR,G
877,Parker Wotherspoon,27,BOS,D
878,Kailer Yamamoto,26,UTA,RW
rank,name,age,team,position
